Team,Name,Pos,BV,13_Pts,14_Pts,15_Pts,16_Pts,17_Pts,18_Pts,19_Pts,20_Pts,21_Pts,22_Pts,23_Pts,total_pts,ID,SV
EVE,O'Brien,D,4.5,2.78,2.39,3.29,1.68,2.09,3.34,2.6,2.71,3.17,1.99,2.12,28.16,3907762,4.5
SUN,E.Le Fée,M,4.5,2.75,2.4,2.29,2.55,2.53,2.93,2.49,2.56,2.48,2.53,2.59,28.11,4293457,4.5
AVL,Kamara,M,4.5,3.01,2.64,2.33,2.68,2.62,2.27,2.12,2.66,2.49,2.72,2.48,28.02,1697059,4.5
FUL,Lukić,M,4.5,2.51,2.28,2.52,2.75,2.81,2.79,2.46,2.44,2.36,2.61,2.45,27.97,2930172,4.5
BRE,Yarmoliuk,M,4.5,3.01,2.08,2.5,2.73,2.55,2.51,2.61,2.38,2.83,2.1,2.51,27.81,2624511,4.5
AVL,Pau,D,5.0,3.68,2.34,2.09,2.87,2.73,1.86,1.63,3.11,2.18,3.11,2.13,27.74,3627877,5.0
WOL,Krejčí,D,4.5,2.49,3.39,2.85,1.47,3.16,1.6,2.32,3.56,2.72,2.65,1.47,27.68,4380426,4.5
ARS,Hincapie,D,6.0,2.97,3.62,3.15,4.22,2.88,2.03,1.9,1.57,1.54,1.82,1.95,27.65,4386929,6.0
EVE,Barry,F,6.0,2.47,2.26,2.63,2.01,2.13,3.03,2.59,2.69,2.9,2.21,2.7,27.63,4307736,6.0
WOL,Gomes,M,5.0,2.56,2.34,2.36,1.96,2.84,2.37,2.59,2.93,2.68,2.62,2.25,27.5,2930170,5.0
WHU,Potts,M,4.5,2.48,2.46,2.36,2.53,2.21,2.62,2.55,2.55,2.52,2.42,2.78,27.48,4349234,4.5
WHU,M.Fernandes,M,5.0,2.4,2.28,2.24,2.46,2.17,2.65,2.55,2.53,2.59,2.39,2.96,27.22,3934330,5.0
WOL,J.Arias,M,6.0,2.38,2.71,2.61,1.8,2.99,2.41,2.6,2.98,2.47,2.33,1.84,27.12,4316723,6.0
BOU,Diakité,D,4.5,3.11,3.08,2.24,2.16,3.66,2.33,1.74,1.95,2.75,2.1,1.98,27.1,4352383,4.5
LIV,Frimpong,D,6.0,0.0,0.0,0.0,2.02,3.38,4.5,4.28,3.25,2.06,4.56,2.87,26.92,4293354,6.0
SUN,Isidor,F,5.5,2.69,2.24,2.11,2.54,2.4,2.88,2.27,2.4,2.43,2.39,2.56,26.91,4293469,5.5
BOU,Scott,M,4.5,2.91,2.78,2.48,2.45,3.08,2.33,2.02,1.88,2.49,2.14,2.11,26.67,3638526,4.5
TOT,Udogie,D,5.0,2.8,1.84,2.65,2.34,1.83,1.86,2.06,3.32,1.91,2.91,3.05,26.58,3556529,5.0
LEE,Bogle,D,4.4,1.56,2.39,2.11,2.43,2.65,3.25,1.48,2.65,2.13,3.16,2.7,26.51,4293425,4.4
BUR,Florentino,M,4.5,2.49,2.46,2.29,2.5,2.35,2.55,2.39,2.28,2.47,2.21,2.51,26.5,4386960,4.5
MUN,Shaw,D,5.0,2.11,3.21,2.8,2.43,2.05,2.28,3.1,2.53,2.98,1.69,1.31,26.49,23188,5.0
BRE,O.Dango,M,6.0,4.87,2.88,3.78,4.2,0.0,0.0,0.0,1.74,2.65,2.5,3.82,26.45,2882402,6.0
MUN,Mount,M,5.5,2.83,3.07,2.6,1.93,2.75,2.87,3.27,2.29,2.46,1.51,0.82,26.38,139802,5.5
FUL,Sessegnon,M,5.0,3.01,2.74,2.87,2.93,2.48,2.46,2.11,1.9,1.94,1.93,1.89,26.24,3905453,5.0
FUL,King,M,4.5,2.24,2.04,2.3,2.65,2.78,2.72,2.4,2.27,2.28,2.27,2.23,26.19,4034328,4.5
LEE,Stach,M,4.5,0.0,1.13,2.0,3.06,3.09,3.27,2.53,2.93,2.53,2.89,2.74,26.18,4317775,4.5
ARS,Gabriel,D,6.0,0.0,0.0,0.0,0.0,1.92,3.96,4.36,3.76,3.62,4.08,4.27,25.97,181081,6.0
LEE,Okafor,M,5.5,2.21,2.44,2.32,2.41,2.42,2.75,2.01,2.5,2.14,2.48,2.22,25.89,4370441,5.5
WHU,Kilman,D,4.4,1.81,1.96,1.94,2.54,1.23,2.72,2.38,2.7,2.92,2.1,3.46,25.75,106466,4.4
AVL,Digne,D,5.0,3.4,2.16,1.87,2.65,2.57,1.73,1.47,2.9,2.1,2.79,1.99,25.65,91483,5.0
AVL,Buendía,M,5.0,2.25,2.19,1.86,2.55,2.97,2.16,1.75,2.72,2.21,2.54,2.06,25.26,192735,5.0
LEE,Struijk,D,4.5,1.53,2.21,2.05,2.3,2.61,3.11,1.42,2.56,1.93,2.79,2.48,24.98,4293422,4.5
WOL,André,M,4.5,2.26,2.45,2.29,1.86,2.38,2.06,2.2,2.45,2.32,2.26,2.01,24.55,3947663,4.5
EVE,Ndiaye,M,6.5,3.67,3.37,3.78,3.06,0.0,0.0,0.0,1.98,2.15,2.63,3.83,24.46,3893793,6.5
TOT,Bentancur,M,4.5,1.55,2.1,2.42,2.18,2.22,2.18,2.27,2.6,2.02,2.48,2.4,24.43,291492,4.5
WOL,Hee Chan,M,5.5,2.04,2.44,2.28,1.54,2.8,2.13,2.44,2.78,2.22,2.23,1.49,24.38,257178,5.5
MUN,Amad,M,7.5,3.48,4.16,3.67,3.63,0.0,0.0,0.0,1.97,2.27,2.6,2.57,24.35,198784,7.5
LEE,Rodon,D,4.5,1.32,2.1,1.86,2.21,2.5,3.03,1.33,2.47,1.89,2.83,2.47,24.02,4293423,4.5
CHE,Delap,F,7.0,2.07,2.72,2.36,2.32,1.95,2.21,2.37,1.56,2.09,2.46,1.87,23.98,3893803,7.0
FUL,Iwobi,M,6.5,3.67,3.27,3.54,3.98,0.0,0.0,0.0,1.43,1.6,2.87,3.54,23.89,23326,6.5
LEE,Gudmundsson,D,4.4,1.34,2.12,1.87,2.21,2.5,3.01,1.33,2.46,1.86,2.77,2.39,23.86,4297978,4.4
EVE,Beto,F,6.5,2.1,1.96,2.28,1.74,1.63,2.73,2.14,2.43,2.47,1.9,2.42,23.8,3650885,6.5
MUN,Šeško,F,7.5,0.0,0.0,0.0,1.48,2.87,3.45,3.9,3.35,3.68,2.83,2.22,23.78,4348880,7.5
BHA,Hinshelwood,M,5.5,1.42,1.95,2.71,1.5,3.21,1.95,2.71,2.93,1.88,1.85,1.6,23.72,3674479,5.5
MCI,Savinho,M,7.5,2.23,1.71,2.58,1.59,2.64,2.13,2.62,1.87,2.07,1.84,2.31,23.59,3894951,7.5
LEE,Tanaka,M,4.5,2.49,2.56,2.49,2.48,2.53,2.51,1.81,2.02,1.68,1.68,1.3,23.56,4293427,4.5
CHE,Fofana,D,5.0,1.98,2.58,1.98,2.71,1.9,2.34,2.27,1.31,2.03,2.47,1.88,23.45,186823,5.0
MCI,N.Gonzalez,M,5.0,3.26,2.8,3.12,1.54,2.0,1.66,1.95,1.53,1.76,1.63,2.0,23.24,4070128,5.0
SUN,Mukiele,D,4.5,2.6,1.23,1.18,2.32,1.89,3.19,1.63,2.11,2.07,2.41,2.56,23.19,4362455,4.5
ARS,Trossard,M,7.5,1.26,2.39,1.91,2.61,2.04,2.25,2.28,1.92,1.95,2.07,2.31,23.01,132424,7.5
BHA,Gomez,M,4.5,2.57,2.63,2.94,1.83,2.58,1.17,2.06,2.41,1.36,1.81,1.59,22.95,4050503,4.5
CHE,Garnacho,M,6.5,1.69,2.51,2.19,2.32,1.82,2.23,2.3,1.45,2.03,2.44,1.88,22.86,1214404,6.5
BRE,Nelson,M,5.5,2.12,0.0,1.4,1.97,3.18,3.12,3.3,1.9,2.83,1.2,1.79,22.81,77164,5.5
ARS,Merino,M,6.5,3.34,3.53,2.18,2.13,1.6,1.75,1.81,1.49,1.41,1.64,1.84,22.71,3943790,6.5
WOL,Bellegarde,M,5.5,1.29,2.11,2.13,1.39,2.73,2.18,2.46,2.63,2.17,2.02,1.41,22.53,3652440,5.5
AVL,Malen,M,6.5,3.47,1.58,1.22,2.23,2.67,1.81,1.23,2.49,1.87,2.25,1.66,22.47,4054663,6.5
TOT,Spence,D,4.6,2.3,1.51,1.85,2.05,1.59,1.64,1.83,2.44,1.69,2.63,2.77,22.3,230938,4.6
BOU,Kroupi.Jr,F,5.0,2.63,2.37,2.02,1.98,3.03,1.96,1.53,1.18,2.29,1.67,1.54,22.21,4293383,5.0
WHU,Wilson,F,5.5,1.82,1.96,1.76,2.05,1.5,2.07,1.97,2.09,2.24,1.93,2.76,22.14,4338690,5.5
LEE,Ampadu,D,4.5,1.25,1.79,1.61,1.96,2.29,2.8,1.22,2.33,1.78,2.72,2.35,22.1,4293421,4.5
MUN,Martinez,D,4.5,0.0,1.32,1.43,2.03,2.09,2.46,3.4,2.71,3.2,1.82,1.43,21.9,1818085,4.5
TOT,Odobert,M,5.5,2.73,2.09,2.24,1.96,1.63,1.44,1.62,2.39,1.41,2.21,2.15,21.87,3638871,5.5
