fpl_code,team,player,pos,cost,13,14,15,16,17,18,19,20,21,22,23,total_pts,ppm
577114,WHU,L.Guilherme,M,5.0,-0.59,0.0,0.0,0.34,-0.29,0.65,0.49,0.47,0.7,-0.1,1.54,3.21,0.64
435973,BUR,Foster,F,5.5,0.53,0.63,0.43,0.87,0.0,0.0,0.0,-0.47,0.08,0.09,1.0,3.16,0.58
501837,WOL,Mosquera,D,4.0,0.0,0.39,0.06,-1.3,1.2,0.44,0.85,1.17,0.61,0.38,-0.72,3.08,0.77
647850,BHA,Kostoulas,M,5.0,0.0,1.24,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.99,0.6
626464,BRE,Nunes,M,5.0,0.0,0.0,0.0,0.0,0.89,0.73,0.98,0.4,0.0,0.0,0.0,2.99,0.6
608181,BHA,Tzimas,F,5.0,0.0,1.31,1.86,-0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.83,0.57
536916,CHE,Buonanotte,M,5.0,0.0,1.59,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.53,0.51
227127,TOT,Bissouma,M,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19,1.24,2.43,0.54
465680,NFO,Kalimuendo,F,6.5,0.94,0.99,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.41,0.37
223336,SUN,Neil,M,5.0,0.0,-0.77,-1.53,0.0,1.6,1.69,1.55,-0.01,-0.03,-0.29,0.0,2.21,0.44
575901,BOU,Soler,D,4.5,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.47
450539,BRE,Peart-Harris,M,4.5,0.0,0.0,0.0,0.0,0.0,0.85,1.15,0.0,0.0,0.0,0.0,2.0,0.44
515621,CRY,Chadi Riad,D,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52,0.4,1.92,0.43
200089,NEW,Willock,M,4.5,0.0,0.0,0.0,0.0,0.0,0.0,1.81,0.0,0.0,0.0,0.0,1.81,0.4
461195,SUN,Cirkin,D,4.5,0.0,0.0,0.0,0.0,0.54,1.24,0.42,-0.27,-0.3,0.0,0.0,1.63,0.36
575458,NFO,Jair Cunha,D,4.5,0.0,0.62,0.26,0.0,0.0,0.0,0.68,0.0,0.0,0.0,0.0,1.56,0.35
535818,SUN,Adingra,M,5.5,0.46,0.03,0.0,0.38,0.0,0.0,0.0,-0.15,-0.17,0.28,0.53,1.35,0.25
210156,NFO,Awoniyi,F,5.5,0.0,0.0,0.43,0.92,0.0,0.0,0.0,0.0,0.0,-0.58,0.48,1.25,0.23
606745,MUN,Heaven,D,4.0,-0.11,1.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.3
515597,AVL,Bogarde,D,4.0,0.0,0.0,0.0,0.0,0.72,-0.62,0.0,0.99,0.0,0.0,0.0,1.09,0.27
174592,BUR,Edwards,M,5.0,0.0,-0.44,-0.8,0.12,0.36,0.73,0.53,0.15,0.51,-0.35,0.27,1.08,0.22
596047,MUN,Obi,F,5.0,0.49,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.19
215460,SUN,Poveda,M,4.5,0.0,0.0,0.0,0.0,0.32,0.96,0.25,-0.76,0.0,0.0,0.0,0.77,0.17
184667,AVL,Lindelöf,D,4.5,0.0,0.0,0.0,0.0,0.69,-0.65,-0.97,0.94,-0.13,0.89,0.0,0.77,0.17
483081,WOL,R.Gomes,M,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.24,0.49,0.11
111773,NEW,Krafth,D,4.5,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.09
606798,AVL,A.García,D,4.5,0.0,0.0,0.0,0.0,0.69,0.0,-0.97,0.97,0.0,0.0,-0.3,0.39,0.09
153366,FUL,Reed,M,4.5,0.0,0.0,0.0,0.0,0.0,0.54,-0.16,0.0,0.0,0.0,0.0,0.38,0.08
499300,EVE,Aznou,D,4.0,0.18,0.16,0.99,-0.54,-0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.08
113564,LEE,Byram,D,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.11,0.03
115556,TOT,Davies,D,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.06,0.01
436893,BOU,J.Araujo,D,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
437495,LEE,Meslier,G,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220684,SUN,Alese,D,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
541462,BOU,Akinmboni,D,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107265,NFO,Gunn,G,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
645618,AVL,Burrowes,M,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
247245,BUR,Delcroix,D,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
590012,CRY,Kporha,D,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101148,NEW,Lascelles,D,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
551206,BUR,Banel,M,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
477851,SUN,Ba,M,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51943,BUR,Hladký,G,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
