fpl_code,team,player,pos,cost,2025-11-29T15:00:00Z,2025-11-29T17:30:00Z,2025-11-29T20:00:00Z,2025-11-30T12:00:00Z,2025-11-30T14:05:00Z,2025-11-30T16:30:00Z,2025-12-02T19:30:00Z,2025-12-02T20:15:00Z,2025-12-03T19:30:00Z,2025-12-03T20:15:00Z,2025-12-04T20:00:00Z,2025-12-06T12:30:00Z,2025-12-06T15:00:00Z,2025-12-06T17:30:00Z,2025-12-07T14:00:00Z,2025-12-07T16:30:00Z,2025-12-08T20:00:00Z,2025-12-13T15:00:00Z,2025-12-13T17:30:00Z,2025-12-13T20:00:00Z,2025-12-14T14:00:00Z,2025-12-14T16:30:00Z,2025-12-15T20:00:00Z,2025-12-16T20:00:00Z,2025-12-17T19:30:00Z,2025-12-17T20:15:00Z,2025-12-20T12:30:00Z,2025-12-20T15:00:00Z,2025-12-20T17:30:00Z,2025-12-20T20:00:00Z,2025-12-21T16:30:00Z,2025-12-22T20:00:00Z,2025-12-23T20:00:00Z,2025-12-26T20:00:00Z,2025-12-27T12:30:00Z,2025-12-27T15:00:00Z,2025-12-27T17:30:00Z,2025-12-28T14:00:00Z,2025-12-28T16:30:00Z,2025-12-30T19:30:00Z,2025-12-30T20:15:00Z,2026-01-01T17:30:00Z,2026-01-01T20:00:00Z,2026-01-03T12:30:00Z,2026-01-03T15:00:00Z,2026-01-03T17:30:00Z,2026-01-04T12:30:00Z,2026-01-04T15:00:00Z,2026-01-04T17:30:00Z,2026-01-06T20:00:00Z,2026-01-07T19:30:00Z,2026-01-07T20:15:00Z,2026-01-08T20:00:00Z,2026-01-17T12:30:00Z,2026-01-17T15:00:00Z,2026-01-17T17:30:00Z,2026-01-18T14:00:00Z,2026-01-18T16:30:00Z,2026-01-19T20:00:00Z,2026-01-24T12:30:00Z,2026-01-24T15:00:00Z,2026-01-24T17:30:00Z,2026-01-25T14:00:00Z,2026-01-25T16:30:00Z,2026-01-26T20:00:00Z,total_pts,ppm
215059,CHE,Sánchez,G,3.6,0.0,0.0,0.0,0.0,0.0,3.53,0.0,0.0,0.0,3.84,0.0,0.0,3.36,0.0,0.0,0.0,0.0,4.05,0.0,0.0,0.0,0.0,0.0,2.13,0.0,0.0,3.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.86,0.0,0.0,3.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.73,0.0,3.52,0.0,0.0,0.0,3.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.27,0.0,0.0,41.28,11.47
448047,CHE,Enzo,M,4.3,0.0,0.0,0.0,0.0,0.0,3.38,0.0,0.0,0.0,3.74,0.0,0.0,3.36,0.0,0.0,0.0,0.0,3.66,0.0,0.0,0.0,0.0,0.0,3.11,0.0,0.0,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.61,0.0,0.0,3.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.04,0.0,3.26,0.0,0.0,0.0,3.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.25,0.0,0.0,41.01,9.54
80201,FUL,Leno,G,3.5,0.0,0.0,3.37,0.0,0.0,0.0,3.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,0.0,0.0,4.02,0.0,0.0,0.0,0.0,0.0,0.0,1.59,0.0,0.0,0.0,0.0,0.0,4.06,0.0,0.0,0.0,3.57,0.0,0.0,0.0,0.0,0.0,3.13,0.0,0.0,0.0,0.0,0.0,3.24,0.0,0.0,3.49,0.0,0.0,0.0,3.67,0.0,0.0,0.0,0.0,0.0,3.75,0.0,0.0,0.0,0.0,40.86,11.67
111234,EVE,Pickford,G,3.8,0.0,3.72,0.0,0.0,0.0,0.0,3.33,0.0,0.0,0.0,0.0,0.0,4.12,0.0,0.0,0.0,0.0,2.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.35,0.0,0.0,0.0,0.0,0.0,4.02,0.0,0.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,0.0,0.0,4.35,0.0,0.0,0.0,0.0,0.0,0.0,3.24,0.0,0.0,0.0,0.0,0.0,0.0,4.24,40.83,10.74
466075,ARS,Calafiori,D,4.2,0.0,0.0,0.0,0.0,0.0,3.17,0.0,0.0,4.19,0.0,0.0,3.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.54,0.0,0.0,1.89,0.0,0.0,3.47,0.0,0.0,0.0,0.0,3.45,0.0,0.0,0.0,0.0,3.01,0.0,0.0,0.0,0.0,0.0,0.0,2.94,0.0,0.0,3.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.41,0.0,40.15,9.56
97032,LIV,Virgil,D,5.2,0.0,0.0,0.0,0.0,3.62,0.0,0.0,0.0,0.0,4.59,0.0,0.0,0.0,3.58,0.0,0.0,0.0,3.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.16,0.0,0.0,0.0,0.0,0.0,0.0,4.43,0.0,0.0,0.0,0.0,0.0,4.24,0.0,0.0,0.0,0.0,0.0,3.23,0.0,0.0,0.0,0.0,2.15,0.0,4.67,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,39.84,7.66
171314,MCI,Rúben,D,5.2,4.16,0.0,0.0,0.0,0.0,0.0,3.22,0.0,0.0,0.0,0.0,0.0,4.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,0.0,0.0,0.0,1.89,0.0,0.0,3.88,0.0,0.0,0.0,0.0,0.0,0.0,3.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.71,0.0,0.0,0.0,0.0,0.0,2.9,0.0,3.22,0.0,0.0,2.66,0.0,0.0,0.0,0.0,0.0,0.0,3.94,0.0,0.0,0.0,0.0,39.74,7.64
441191,NEW,Livramento,D,3.3,0.0,3.22,0.0,0.0,0.0,0.0,0.0,3.46,0.0,0.0,0.0,0.0,4.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.65,0.0,0.0,0.0,0.0,3.03,2.69,0.0,0.0,0.0,0.0,0.0,0.0,2.49,0.0,0.0,0.0,0.0,0.0,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.93,0.0,0.0,0.0,3.53,0.0,0.0,0.0,0.0,3.17,0.0,0.0,0.0,0.0,0.0,2.98,0.0,0.0,39.41,11.94
50175,BHA,Welbeck,F,3.4,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,3.78,0.0,0.0,0.0,0.0,0.0,4.17,0.0,0.0,3.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.57,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,4.25,0.0,0.0,0.0,0.0,0.0,2.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,3.14,0.0,0.0,0.0,0.0,39.16,11.52
224024,WHU,L.Paquetá,M,4.0,0.0,0.0,0.0,0.0,3.59,0.0,0.0,0.0,0.0,0.0,3.48,0.0,0.0,0.0,3.39,0.0,0.0,0.0,0.0,0.0,3.57,0.0,0.0,0.0,0.0,0.0,0.0,3.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.43,0.0,0.0,0.0,3.61,0.0,0.0,0.0,0.0,3.55,0.0,0.0,0.0,0.0,3.42,0.0,0.0,0.0,0.0,3.54,0.0,0.0,0.0,0.0,4.22,0.0,0.0,0.0,0.0,0.0,38.94,9.73
