fpl_code,team,player,pos,cost,2025-11-29,2025-11-30,2025-12-02,2025-12-03,2025-12-04,2025-12-06,2025-12-07,2025-12-08,2025-12-13,2025-12-14,2025-12-15,2025-12-20,2025-12-21,2025-12-22,2025-12-26,2025-12-27,2025-12-28,2025-12-30,2026-01-01,2026-01-03,2026-01-04,2026-01-06,2026-01-07,2026-01-08,2026-01-17,2026-01-18,2026-01-19,2026-01-24,2026-01-25,2026-01-26,total_pts,ppm
510281,MCI,Savinho,M,7.7,1.42,0.0,1.29,0.0,0.0,1.7,0.0,0.0,0.0,1.3,0.0,2.07,0.0,0.0,0.0,1.78,0.0,0.0,2.09,0.0,1.58,0.0,1.58,0.0,1.5,0.0,0.0,1.51,0.0,0.0,17.81,2.31
171287,LIV,Gomez,D,6.8,0.0,1.6,0.0,3.42,0.0,2.52,0.0,0.0,1.63,0.0,0.0,1.25,0.0,0.0,0.0,1.51,0.0,0.0,1.37,0.0,1.21,0.0,0.0,0.81,1.52,0.0,0.0,0.96,0.0,0.0,17.79,2.62
624773,CHE,Estêvão,M,7.2,0.0,1.38,0.0,1.99,0.0,1.58,0.0,0.0,1.72,0.0,0.0,1.54,0.0,0.0,0.0,1.72,0.0,1.75,0.0,0.0,1.41,0.0,1.47,0.0,1.74,0.0,0.0,0.0,1.49,0.0,17.78,2.47
482973,NFO,Igor Jesus,F,7.2,0.0,2.92,0.0,2.45,0.0,1.72,0.0,0.0,0.0,1.33,0.0,0.0,0.0,1.38,0.0,1.33,0.0,1.5,0.0,1.29,0.0,1.39,0.0,0.0,1.07,0.0,0.0,0.0,1.21,0.0,17.6,2.44
613804,WHU,Diouf,D,6.7,0.0,1.83,0.0,0.0,2.06,0.0,2.06,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42,0.0,1.51,0.0,0.0,2.0,0.0,0.0,3.65,0.0,0.0,17.33,2.59
116216,ARS,Trossard,M,10.3,0.0,0.88,0.0,1.73,0.0,1.42,0.0,0.0,1.91,0.0,0.0,1.59,0.0,0.0,0.0,1.71,0.0,1.71,0.0,1.51,0.0,0.0,0.0,1.6,1.55,0.0,0.0,0.0,1.7,0.0,17.31,1.68
248857,ARS,Madueke,M,8.2,0.0,2.01,0.0,1.88,0.0,1.61,0.0,0.0,1.71,0.0,0.0,1.34,0.0,0.0,0.0,1.38,0.0,1.48,0.0,1.36,0.0,0.0,0.0,1.34,1.48,0.0,0.0,0.0,1.47,0.0,17.07,2.08
570526,TOT,Bergvall,M,7.3,2.14,0.0,1.09,0.0,0.0,1.28,0.0,0.0,0.0,1.23,0.0,1.84,0.0,0.0,0.0,0.0,1.8,0.0,1.92,0.0,1.67,0.0,1.23,0.0,1.28,0.0,0.0,1.11,0.0,0.0,16.61,2.28
232653,NEW,J.Ramsey,M,7.3,1.16,0.0,1.48,0.0,0.0,1.78,0.0,0.0,0.0,1.55,0.0,1.5,0.0,0.0,1.53,0.0,0.0,1.78,0.0,0.0,1.48,0.0,1.58,0.0,0.0,1.42,0.0,0.0,1.36,0.0,16.61,2.27
230046,NFO,Douglas Luiz,M,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.0,0.0,0.0,2.18,0.0,2.34,0.0,2.52,0.0,2.16,0.0,2.42,0.0,0.0,1.97,0.0,0.0,0.0,2.12,0.0,16.5,2.23
