fpl_code,team,player,pos,cost,13,14,15,16,17,18,19,20,21,22,23,total_pts,ppm
169528,FUL,Robinson,D,4.9,0.0,0.0,0.0,0.81,3.07,2.77,2.29,2.1,2.16,2.66,2.31,18.17,3.71
155408,BOU,Cook,M,4.9,1.45,2.34,2.14,2.13,2.49,1.61,1.28,1.2,1.22,1.15,1.12,18.14,3.7
482609,CHE,Gusto,D,4.9,1.5,2.6,2.04,1.67,1.32,1.66,1.72,1.1,1.51,1.65,1.29,18.05,3.68
158534,WHU,Walker-Peters,D,4.3,0.71,0.71,0.93,1.03,1.57,3.04,2.73,2.51,2.42,1.17,1.09,17.91,4.16
458249,MUN,Zirkzee,F,5.8,2.8,2.05,1.83,1.32,1.72,1.61,1.91,1.29,1.43,0.96,0.67,17.59,3.03
212319,TOT,Richarlison,F,6.4,2.74,1.92,1.9,1.43,1.42,1.19,1.4,1.6,1.12,1.44,1.39,17.54,2.74
516939,WOL,Agbadou,D,4.3,2.63,3.36,2.89,2.07,0.0,0.0,0.0,1.39,1.15,2.25,1.76,17.5,4.07
215439,WHU,Souček,M,5.7,1.47,1.29,1.38,1.51,1.47,1.78,1.88,1.68,1.69,1.47,1.84,17.48,3.07
209046,NFO,Hudson-Odoi,M,5.7,2.56,2.23,1.63,1.56,1.36,1.35,1.47,1.35,1.48,1.17,1.28,17.43,3.06
230046,NFO,Douglas Luiz,M,5.0,0.0,0.0,0.0,0.74,2.33,2.37,2.68,2.26,2.52,2.01,2.21,17.12,3.42
510281,MCI,Savinho,M,6.9,1.37,1.19,1.58,1.21,1.97,1.67,1.96,1.5,1.51,1.41,1.43,16.8,2.43
570526,TOT,Bergvall,M,5.4,2.27,1.02,1.27,1.2,1.84,1.82,1.92,1.66,1.18,1.26,1.09,16.53,3.06
624773,CHE,Estêvão,M,6.5,1.31,1.92,1.42,1.62,1.38,1.63,1.63,1.26,1.34,1.59,1.37,16.47,2.53
119471,NEW,Schär,D,5.3,1.57,1.57,1.84,1.43,1.2,1.18,1.53,1.4,1.68,1.56,1.44,16.39,3.09
116216,ARS,Trossard,M,6.9,0.8,1.62,1.34,1.84,1.48,1.66,1.64,1.38,1.51,1.43,1.63,16.33,2.37
231480,WOL,S.Bueno,D,4.4,0.65,1.02,1.06,0.75,2.65,1.66,2.05,2.41,1.95,1.34,0.77,16.29,3.7
195384,ARS,Merino,M,5.9,3.32,3.35,1.85,1.22,0.91,0.95,0.98,0.91,0.84,0.89,0.97,16.19,2.74
171287,LIV,Gomez,D,4.9,1.47,2.96,2.35,1.52,1.12,1.38,1.26,1.1,0.74,1.39,0.85,16.14,3.29
247693,TOT,Kolo Muani,F,6.9,2.11,1.73,1.77,1.36,1.22,1.23,1.21,1.52,1.2,1.42,1.37,16.13,2.34
232653,NEW,J.Ramsey,M,5.3,1.09,1.41,1.75,1.46,1.45,1.46,1.75,1.44,1.54,1.36,1.31,16.02,3.02
91889,WHU,Füllkrug,F,5.6,1.47,1.31,1.31,1.48,1.24,1.47,1.57,1.48,1.57,1.43,1.71,16.01,2.86
248857,ARS,Madueke,M,6.8,1.9,1.7,1.46,1.56,1.18,1.25,1.34,1.18,1.2,1.29,1.33,15.39,2.26
206915,LIV,C.Jones,M,5.4,1.62,2.17,1.74,1.45,1.28,1.39,1.35,1.11,0.88,1.31,0.98,15.27,2.83
482973,NFO,Igor Jesus,F,5.8,2.67,2.2,1.44,1.07,1.12,1.1,1.23,1.04,1.11,0.88,0.94,14.8,2.55
441302,AVL,Maatsen,D,4.2,1.53,1.1,1.07,1.45,1.55,1.03,0.98,1.57,1.12,1.68,1.15,14.23,3.39
490721,WOL,H.Bueno,D,4.4,0.99,1.39,1.21,0.83,2.0,1.18,1.61,1.72,1.38,1.1,0.73,14.14,3.21
179458,BUR,Bruun Larsen,M,5.3,1.08,1.16,1.14,1.25,1.37,1.6,1.45,1.2,1.34,1.12,1.35,14.05,2.65
535301,BHA,Baleba,M,4.7,2.55,2.01,2.23,1.87,0.0,0.0,0.0,1.05,0.73,1.4,2.19,14.05,2.99
497949,WOL,Møller Wolfe,D,4.3,1.27,1.49,1.27,0.89,1.64,0.99,1.29,1.7,1.36,1.28,0.8,13.98,3.25
